"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 15:36:34 CST 2019","Mon Mar 25 15:36:34 CST 2019","1","","exec.StepTest","","exec.StepTest","test2","test2()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","0","","exec.SeverityTest","","exec.SeverityTest","normal","normal()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.SeverityTest","","exec.SeverityTest","trivial","trivial()",""
"passed","Mon Mar 25 15:36:34 CST 2019","Mon Mar 25 15:36:34 CST 2019","4","","exec.StepTest","","exec.StepTest","test4","test4()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.SeverityTest","","exec.SeverityTest","block","block()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.FeatureTest","","exec.FeatureTest","test4","test4()",""
"failed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","44","","exec.FeatureTest","","exec.FeatureTest","test","test()",""
"passed","Mon Mar 25 15:36:34 CST 2019","Mon Mar 25 15:36:34 CST 2019","37","","exec.StepTest","","exec.StepTest","test3","test3()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","5","","exec.SeverityTest","","exec.SeverityTest","critical","critical()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.FeatureTest","","exec.FeatureTest","test3","test3()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.SeverityTest","","exec.SeverityTest","minor","minor()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:34 CST 2019","183","","exec.StepTest","","exec.StepTest","test1","test1()",""
"passed","Mon Mar 25 15:36:33 CST 2019","Mon Mar 25 15:36:33 CST 2019","1","","exec.FeatureTest","","exec.FeatureTest","test2","test2()",""
